Nome do Repositório,Estrelas,Idade (anos)
freeCodeCamp,402802
free-programming-books,334830
awesome,326819
public-apis,313361
coding-interview-university,304983
build-your-own-x,302678
developer-roadmap,293193
system-design-primer,271030
996.ICU,269715
react,227918
awesome-python,220171
vue,207743
project-based-learning,199011
awesome-selfhosted,196730
javascript-algorithms,187581
tensorflow,185782
Python,184654
linux,179450
You-Dont-Know-JS,179227
CS-Notes,174987
ohmyzsh,172806
computer-science,170532
bootstrap,170316
AutoGPT,167125
flutter,165163
vscode,162977
gitignore,161459
Python-100-Days,155380
the-art-of-command-line,153054
JavaGuide,146173
the-book-of-secret-knowledge,144809
javascript,144773
stable-diffusion-webui,140465
transformers,132787
youtube-dl,131608
awesome-go,129701
next.js,125392
fucking-algorithm,125225
go,123183
30-seconds-of-code,121358
react-native,118472
tech-interview-handbook,117528
electron,113812
free-programming-books-zh_CN,111332
awesome-chatgpt-prompts,111175
kubernetes,110153
PowerToys,110046
scrcpy,109662
d3,108522
node,106880
axios,105334
create-react-app,102587
three.js,101987
TypeScript,100418
nodebestpractices,99526
GitHub-Chinese-Top-Charts,99354
Microsoft-Activation-Scripts,97325
rust,97239
hello-algo,96038
angular,95887
terminal,95092
deno,94504
material-ui,93501
langchain,92930
ant-design,92009
ollama,91543
clean-code-javascript,91363
HelloGitHub,91280
godot,89553
java-design-patterns,89510
free-for-dev,88758
puppeteer,88374
vue-element-admin,87666
papers-we-love,87173
frp,84923
thefuck,84874
iptv,84810
storybook,84097
yt-dlp,83712
Awesome-Hacking,83330
Web-Dev-For-Beginners,83169
every-programmer-should-know,82819
pytorch,82578
tauri,82379
tailwindcss,82212
neovim,82109
excalidraw,81995
animate.css,80624
realworld,80369
app-ideas,79431
django,79403
nvm,79247
bitcoin,78652
svelte,78562
laravel,78350
opencv,78308
gin,78207
mall,77468
models,76984
FiraCode,76876
fastapi,76128
advanced-java,75779
awesome-mac,75417
LeetCodeAnimation,75386
ChatGPT-Next-Web,75371
hugo,75006
spring-boot,74705
Font-Awesome,73546
rustdesk,73474
bun,73456
json-server,72658
supabase,72155
awesome-vue,71971
core,71847
mermaid,71063
netdata,70905
awesome-interview-questions,70674
ui,70601
elasticsearch,69692
gpt4all,69658
ML-For-Beginners,69261
Front-End-Checklist,68748
github-readme-stats,68575
moby,68526
node,68234
whisper,68202
awesome-for-beginners,68037
funNLP,68021
code-server,67834
stable-diffusion,67721
flask,67700
reveal.js,67661
v2rayN,67611
vite,67463
swift,67377
nest,67036
HowToCook,66609
cs-video-courses,66587
redis,66484
devops-exercises,66078
playwright,65985
llama.cpp,65666
awesome-machine-learning,65539
protobuf,65346
express,65279
awesome-react,64869
webpack,64593
Chart.js,64482
gpt_academic,64420
syncthing,64236
fzf,64199
grafana,64172
hoppscotch,64123
interviews,63450
system-design-101,63360
33-js-concepts,63216
strapi,63063
manim,62815
sway,62761
cpython,62604
ansible,62489
javascript-questions,62482
generative-ai-for-beginners,62223
the-algorithm,62119
superset,62031
Ventoy,61951
resume.github.com,61903
d2l-zh,61781
keras,61681
tesseract,61271
Best-websites-a-programmer-should-visit,61227
socket.io,60976
redux,60835
nocode,60491
PayloadsAllTheThings,60316
awesome-public-datasets,60302
echarts,60268
atom,60165
gpt4free,60150
imgui,59803
architect-awesome,59708
lodash,59677
markdown-here,59640
Front-end-Developer-Interview-Questions,59580
scikit-learn,59579
jquery,59178
sherlock,59127
obs-studio,59115
awesome-cpp,59023
Java,58845
angular.js,58838
openai-cookbook,58792
tabby,58597
design-resources-for-developers,58428
awesome-scalability,58371
shadowsocks-windows,58326
fuel-core,58150
awesome-nodejs,58026
Apollo-11,57573
caddy,57356
